name_en,name_ru,ID
FC Krasnodar,ФК Краснодар,1
Zenit,Зенит,2
Spartak,Спартак,3
Dynamo,Динамо,4
Lokomotiv,Локомотив,5
PFC CSKA,ПФК ЦСКА,6
FC Rostov,ФК Ростов,7
Rubin,Рубин,8
Akron,Акрон,9
Krylia Sovetov,Крылья Советов,10
Dynamo Mkh,Динамо Мх,11
Pari NN,Пари НН,12
FC Khimki,ФК Химки,13
Fakel,Факел,14
Akhmat,Ахмат,15
FC Orenburg,ФК Оренбург,16
Alania Vladikavkaz,Алания,17
Arsenal Tula,Арсенал,18
Baltika Kaliningrad,Балтика,19
Yenisey Krasnoyarsk,Енисей,20
KAMAZ,КАМАЗ,21
Neftekhimik Nizhnekamsk,Нефтехимик,22
Rodina Moscow,Родина,23
Rotor Volgograd,Ротор,24
SKA-Khabarovsk,СКА-Хабаровск,25
Sokol Saratov,Сокол,26
Sochi,Сочи,27
Torpedo Moscow,Торпедо Москва,28
Tyumen,Тюмень,29
Ural Yekaterinburg,Урал,30
Ufa,Уфа,31
Chayka Peschanokopskoye,Чайка,32
Chernomorets Novorossiysk,Черноморец,33
Shinnik Yaroslavl,Шинник,34
